index,title,type,release_year,genres,production_countries,imdb_score,imdb_votes
4115,Asphalt Burning,MOVIE,2020,"['action', 'comedy', 'european']","['DE', 'NO']",5.1,2279
4116,Lingua Franca,MOVIE,2020,['drama'],"['PH', 'US']",6.5,671
4118,Isi & Ossi,MOVIE,2020,"['romance', 'comedy']",['DE'],6.4,8221
4124,What We Wanted,MOVIE,2020,['drama'],['AT'],5.9,1773
4126,A Perfect Crime,SHOW,2020,"['crime', 'documentation']",['DE'],7.3,1394
4128,Ni de coña,MOVIE,2020,"['comedy', 'european']","['ES', 'CO']",2.8,377
4132,Chris D'Elia: No Pain,MOVIE,2020,['comedy'],['US'],5.9,1772
4135,All Day and a Night,MOVIE,2020,['drama'],['US'],5.9,3627
4136,The Fisherman's Diary,MOVIE,2020,['drama'],['CM'],6.4,616
4137,Felipe Esparza: Bad Decisions,SHOW,2020,['comedy'],['US'],5.4,166
4143,Emicida: AmarElo - It's All for Yesterday,MOVIE,2020,"['music', 'documentation']",['BR'],8.5,1472
4145,Tom Papa: You're Doing Great!,MOVIE,2020,['comedy'],['US'],7.2,844
4146,Best Leftovers Ever!,SHOW,2020,['reality'],['US'],5.6,515
4147,Sarah Cooper: Everything's Fine,MOVIE,2020,['comedy'],['US'],5.5,1708
4150,Betaal,SHOW,2020,"['action', 'horror', 'thriller']",['IN'],5.4,8884
4156,A Babysitter's Guide to Monster Hunting,MOVIE,2020,"['fantasy', 'comedy', 'family']",['US'],5.4,4067
4158,"Good Morning, Verônica",SHOW,2020,"['drama', 'thriller', 'crime']",['BR'],7.6,3552
4159,Mismatched,SHOW,2020,"['comedy', 'drama', 'romance']",['IN'],5.5,3712
4160,Fearless,MOVIE,2020,"['comedy', 'scifi', 'documentation', 'animation', 'family']",['CA'],4.9,1706
4166,Bobbleheads: The Movie,MOVIE,2020,"['comedy', 'family', 'animation']",['US'],2.4,349
4167,Dad Wanted,MOVIE,2020,"['drama', 'family', 'comedy']",['MX'],5.7,1058
4176,Quiet,MOVIE,2020,['drama'],['CL'],6.4,320
4177,Secrets of the Saqqara Tomb,MOVIE,2020,"['documentation', 'history']","['EG', 'US']",7.2,6189
4178,Wish Upon a Unicorn,MOVIE,2020,"['fantasy', 'family']",['US'],5.4,176
4179,Ludo,MOVIE,2020,"['crime', 'action', 'comedy', 'drama']",['IN'],7.6,37528
4180,Dolly Parton's Christmas on the Square,MOVIE,2020,"['comedy', 'family']",['US'],5.2,2675
4181,Xico's Journey,MOVIE,2020,"['family', 'fantasy', 'animation']",['MX'],5.1,534
4182,Holiday on Mars,MOVIE,2020,"['comedy', 'scifi']",['IT'],2.7,564
4185,Midnight at the Magnolia,MOVIE,2020,"['comedy', 'romance']",['CA'],5.8,5296
4188,Say I Do,SHOW,2020,['reality'],"['GB', 'US']",7.7,527
4191,Hating Peter Tatchell,MOVIE,2020,['documentation'],"['AU', 'GB']",7.6,743
4197,I Am Vengeance: Retaliation,MOVIE,2020,['action'],['GB'],3.4,3048
4198,Black Beach,MOVIE,2020,"['drama', 'thriller', 'fantasy', 'action']","['ES', 'US', 'BE']",5.6,1544
4203,Road to Roma,MOVIE,2020,['documentation'],['MX'],7.6,646
4205,Bread Barbershop,SHOW,2020,['animation'],['KR'],7.3,125
4206,Korean Pork Belly Rhapsody,SHOW,2020,['documentation'],['KR'],7.7,62
4211,Urzila Carlson: Overqualified Loser,MOVIE,2020,['comedy'],[],6.3,366
4216,Booba: Food Puzzle,SHOW,2020,"['animation', 'comedy', 'family']",[],8.3,30
4218,"Berlin, Berlin",MOVIE,2020,"['comedy', 'drama', 'romance']",['DE'],3.8,533
4221,You've Got This,MOVIE,2020,"['comedy', 'romance']",['MX'],5.8,1273
4223,Kevin Hart: Zero F**ks Given,MOVIE,2020,['comedy'],['US'],6,3342
4224,Asphalt Goddess,MOVIE,2020,['drama'],['MX'],4.9,168
4228,The Queen and the Conqueror,SHOW,2020,"['history', 'drama']",['CO'],6.6,172
4231,The Larva Island Movie,MOVIE,2020,"['family', 'animation', 'comedy']",['KR'],5.1,635
4232,Skin Decision: Before and After,SHOW,2020,['reality'],['US'],5.8,405
4233,The Fabulous Lives of Bollywood Wives,SHOW,2020,"['reality', 'documentation', 'romance']",['IN'],5.3,9666
4236,Dragons: Rescue Riders: Hunt for the Golden Dragon,MOVIE,2020,"['action', 'comedy', 'family', 'fantasy', 'animation']",['US'],5.2,153
4237,"ariana grande: excuse me, i love you",MOVIE,2020,"['music', 'documentation']",['US'],6.3,2540
4238,Malang,MOVIE,2020,"['romance', 'drama', 'thriller', 'action', 'crime']",['IN'],6.6,10149
4239,Welcome to Sudden Death,MOVIE,2020,['action'],"['FR', 'JP', 'GB', 'US', 'CA']",4.3,
4241,Little Big Women,MOVIE,2020,['drama'],['TW'],7.2,2253
4242,Christmas Crossfire,MOVIE,2020,"['thriller', 'crime', 'comedy']",['DE'],4.8,1359
4248,Southern Survival,SHOW,2020,['reality'],['US'],5.1,454
4250,Shikara,MOVIE,2020,"['romance', 'drama', 'history']",['IN'],3.3,15026
4251,Milestone,MOVIE,2020,['drama'],['IN'],6.6,613
4256,Double World,MOVIE,2020,"['action', 'fantasy']","['HK', 'CN']",6.1,4064
4257,Psycho,MOVIE,2020,"['crime', 'thriller', 'drama']",['IN'],6.2,4075
4259,How To Ruin Christmas,SHOW,2020,"['drama', 'comedy']",['ZA'],6.1,488
4260,Tell Me When,MOVIE,2020,"['drama', 'documentation', 'comedy']",['MX'],5.7,964
4263,Shawn Mendes: In Wonder,MOVIE,2020,"['music', 'documentation']",['US'],6.5,2016
4264,Kaali Khuhi,MOVIE,2020,"['thriller', 'horror', 'drama']",['IN'],3.5,1207
4266,Masaba Masaba,SHOW,2020,"['comedy', 'drama']",['IN'],6.8,1746
4267,Gunjan Saxena: The Kargil Girl,MOVIE,2020,"['drama', 'action', 'war']",['IN'],5.6,34423
4268,AK vs AK,MOVIE,2020,"['drama', 'action', 'thriller', 'comedy', 'crime']",['IN'],6.9,14048
4271,Until Dawn,SHOW,2020,"['reality', 'comedy']",['FR'],2.5,148
4276,Eric Andre: Legalize Everything,MOVIE,2020,['comedy'],['US'],6.1,2491
4279,Tragic Jungle,MOVIE,2020,['drama'],"['MX', 'CO', 'FR']",5.6,902
4291,Really Love,MOVIE,2020,"['drama', 'romance']",['US'],6,807
4292,Kitty Love: An Homage to Cats,MOVIE,2020,"['documentation', 'european']",['NL'],5.2,445
4298,Full Out 2: You Got This!,MOVIE,2020,['family'],['US'],4.6,504
