index,title,type,release_year,genres,production_countries,imdb_score,imdb_votes
3190,Formula 1: Drive to Survive,SHOW,2019,"['documentation', 'sport']",['GB'],8.6,36661
3250,When They See Us,SHOW,2019,"['drama', 'history', 'crime']",['US'],8.9,114127
3300,Love on the Spectrum,SHOW,2019,"['reality', 'documentation', 'romance']",['AU'],8.6,5210
3315,The Untamed,SHOW,2019,"['action', 'comedy', 'romance', 'drama', 'fantasy', 'horror']",['CN'],8.8,5963
3320,Our Planet,SHOW,2019,['documentation'],['GB'],9.3,41386
3371,Greatest Events of WWII in Colour,SHOW,2019,"['documentation', 'history', 'war']",['GB'],8.7,8508
3827,Kota Factory,SHOW,2019,"['drama', 'comedy']",['IN'],9.3,66985
3903,Delhi Crime,SHOW,2019,"['drama', 'crime']",['IN'],8.5,18732
4252,Rubaru Roshni,MOVIE,2019,['documentation'],['IN'],8.7,584
4621,K. D.,MOVIE,2019,['drama'],['IN'],8.5,1750
3192,The Queen's Gambit,SHOW,2020,"['drama', 'sport']",['US'],8.6,406350
3196,The Last Dance,SHOW,2020,"['documentation', 'history', 'sport']",['US'],9.1,108321
3352,David Attenborough: A Life on Our Planet,MOVIE,2020,['documentation'],['GB'],9,31180
3355,It's Okay to Not Be Okay,SHOW,2020,"['drama', 'comedy', 'romance']",['KR'],8.6,21104
3426,Middleditch & Schwartz,SHOW,2020,['comedy'],['US'],8.6,5147
3553,Gameboys,SHOW,2020,"['drama', 'comedy', 'romance']",['PH'],8.5,1066
3647,Lenox Hill,SHOW,2020,['documentation'],['US'],8.7,2276
3677,Hospital Playlist,SHOW,2020,"['comedy', 'drama']",['KR'],8.8,4836
3804,"Best Wishes, Warmest Regards: A Schitt's Creek Farewell",MOVIE,2020,['documentation'],['CA'],8.6,1357
3904,The Surgeon's Cut,SHOW,2020,['documentation'],[],8.5,1010
4143,Emicida: AmarElo - It's All for Yesterday,MOVIE,2020,"['music', 'documentation']",['BR'],8.5,1472
4473,Sky Tour: The Movie,MOVIE,2020,"['documentation', 'music']",[],8.8,1036
4847,Arcane,SHOW,2021,"['action', 'scifi', 'drama', 'fantasy', 'animation']",['US'],9.1,175412
4944,Bo Burnham: Inside,MOVIE,2021,"['comedy', 'drama', 'music', 'reality']",['US'],8.7,44074
5042,Hometown Cha-Cha-Cha,SHOW,2021,"['comedy', 'romance', 'drama']",['KR'],8.5,9987
5215,Tear Along the Dotted Line,SHOW,2021,"['drama', 'comedy', 'animation']",['IT'],8.7,7595
5242,Move to Heaven,SHOW,2021,['drama'],['KR'],8.6,5307
5459,Navillera,SHOW,2021,['drama'],['KR'],8.8,2024
5512,In Our Mothers' Gardens,MOVIE,2021,['documentation'],['US'],8.6,124
5805,Mighty Little Bheem: Kite Festival,SHOW,2021,"['family', 'comedy', 'animation']",[],8.8,16
4832,Heartstopper,SHOW,2022,"['drama', 'romance']",['GB'],8.9,28978
4965,Twenty Five Twenty One,SHOW,2022,"['drama', 'romance']",['KR'],8.7,4081
5059,Who Rules The World,SHOW,2022,"['drama', 'fantasy', 'romance']",['CN'],9.2,81
